DialogueID;VoiceID;Page;Clip_L1;
DID_Coach_FirstInteraction;EXAVITQu4vr4xnSDxMaL;1;ElevenLabs/TextToSpeech/Bella/ff1cddc8-00a0-2bf6-92a9-2857eb2599b8.mp3;
DID_Coach_FirstInteraction2;EXAVITQu4vr4xnSDxMaL;1;ElevenLabs/TextToSpeech/Bella/078f0040-ff25-cece-8eec-b5ab67a8747c.mp3;
DID_Lusha_Session0_IntroductionTCC_1;EXAVITQu4vr4xnSDxMaL;1;ElevenLabs/TextToSpeech/Bella/eacfa4d6-dfd5-42ee-f1a2-9ef631e22629.mp3;
DID_Lusha_Session0_IntroductionTCC_1;EXAVITQu4vr4xnSDxMaL;2;ElevenLabs/TextToSpeech/Bella/5e668094-756a-72a3-73d7-f5ca96d74d57.mp3;
DID_Lusha_Session0_IntroductionTCC_2;EXAVITQu4vr4xnSDxMaL;1;ElevenLabs/TextToSpeech/Bella/54bb0ae7-5640-aabe-7517-d8b62301ecd7.mp3;
DID_Lusha_Session0_IntroductionTCC_2;EXAVITQu4vr4xnSDxMaL;2;ElevenLabs/TextToSpeech/Bella/e17634af-af00-7e83-01f4-bf891933f1db.mp3;
DID_Lusha_Session0_IntroductionTCC_2;EXAVITQu4vr4xnSDxMaL;3;ElevenLabs/TextToSpeech/Bella/020540be-189c-458a-478b-a1ac85f61a45.mp3;
DID_Lusha_Session0_IntroductionTCC_3;EXAVITQu4vr4xnSDxMaL;1;ElevenLabs/TextToSpeech/Bella/36408d9c-59d8-f84c-c18d-40a19f89588b.mp3;
DID_Lusha_Session0_IntroductionTCC_3;EXAVITQu4vr4xnSDxMaL;2;ElevenLabs/TextToSpeech/Bella/b93ba89a-8427-0bb8-a2c4-4ae9c2adce90.mp3;
DID_Lusha_Session0_IntroductionTCC_3_end;EXAVITQu4vr4xnSDxMaL;1;ElevenLabs/TextToSpeech/Bella/16c5550d-b8d0-9271-acad-a0fffab9a4dd.mp3;
DID_Lusha_Session0_IntroductionTCC_4;EXAVITQu4vr4xnSDxMaL;1;ElevenLabs/TextToSpeech/Bella/128e96ef-0a47-9d57-a445-a3f90a44d650.mp3;
DID_Lusha_Session0_IntroductionTCC_5;EXAVITQu4vr4xnSDxMaL;1;ElevenLabs/TextToSpeech/Bella/634105e6-a75c-a481-1770-7b1d9ac951bc.mp3;
DID_Lusha_Session0_IntroductionTCC_5;EXAVITQu4vr4xnSDxMaL;2;ElevenLabs/TextToSpeech/Bella/77b9acbf-0f85-7b96-f3e6-1295b301d3b1.mp3;
DID_Lusha_Session0_IntroductionTCC_5_end;EXAVITQu4vr4xnSDxMaL;1;ElevenLabs/TextToSpeech/Bella/16c5550d-b8d0-9271-acad-a0fffab9a4dd.mp3;
DID_Lusha_Session0_IntroductionTCC_6;EXAVITQu4vr4xnSDxMaL;1;ElevenLabs/TextToSpeech/Bella/1a2835d2-65ef-650c-3c76-dc3064d36f7b.mp3;
DID_Lusha_Session0_IntroductionTCC_6;EXAVITQu4vr4xnSDxMaL;2;ElevenLabs/TextToSpeech/Bella/cc268698-67df-de54-4980-9a26982d0ddb.mp3;
DID_Lusha_Session0_IntroductionTCC_6;EXAVITQu4vr4xnSDxMaL;3;ElevenLabs/TextToSpeech/Bella/2f56b401-5092-424b-48dc-31b86e6da7db.mp3;
DID_Lusha_Session0_IntroductionTCC_6;EXAVITQu4vr4xnSDxMaL;4;ElevenLabs/TextToSpeech/Bella/3ddd4069-4b63-a1d4-bef7-0b2a489a428e.mp3;
DID_Lusha_Session0_IntroductionTCC_6_end;EXAVITQu4vr4xnSDxMaL;1;ElevenLabs/TextToSpeech/Bella/16c5550d-b8d0-9271-acad-a0fffab9a4dd.mp3;
DID_Lusha_Session0_IntroductionTCC_7;EXAVITQu4vr4xnSDxMaL;1;ElevenLabs/TextToSpeech/Bella/7d7f8773-a847-5725-aeef-d25b35b73c76.mp3;
DID_Lusha_Session0_IntroductionTCC_7;EXAVITQu4vr4xnSDxMaL;2;ElevenLabs/TextToSpeech/Bella/d05b6e4d-9e45-3fc0-d9a0-e2fbb26d7b94.mp3;
DID_Lusha_Session0_IntroductionTCC_7;EXAVITQu4vr4xnSDxMaL;3;ElevenLabs/TextToSpeech/Bella/3e3fd62b-b2d2-48b0-9cef-5f9ebefe88d6.mp3;
DID_Lusha_Session0_IntroductionTCC_8;EXAVITQu4vr4xnSDxMaL;1;ElevenLabs/TextToSpeech/Bella/14c732d9-55e5-d61b-7583-124e7ec9d086.mp3;
DID_Lusha_Session0_IntroductionTCC_8;EXAVITQu4vr4xnSDxMaL;2;ElevenLabs/TextToSpeech/Bella/625a6457-a61c-fb8f-1663-7013905769ee.mp3;
DID_Lusha_Session0_IntroductionTCC_8;EXAVITQu4vr4xnSDxMaL;3;ElevenLabs/TextToSpeech/Bella/843a1333-65b6-5beb-f8cd-d45c8365ddc3.mp3;
DID_Lusha_Session0_IntroductionTCC_9;EXAVITQu4vr4xnSDxMaL;1;ElevenLabs/TextToSpeech/Bella/362a996d-3d0f-a2f5-c19e-1796b635d480.mp3;
DID_Lusha_Session1_1reco_emotion1;EXAVITQu4vr4xnSDxMaL;1;ElevenLabs/TextToSpeech/Bella/a5fd1ef1-a55e-da82-41b0-e3acf74519e0.mp3;
DID_Lusha_Session1_1reco_emotion2;EXAVITQu4vr4xnSDxMaL;1;ElevenLabs/TextToSpeech/Bella/428270f6-d2b3-a22e-b7db-0dee829694d5.mp3;
DID_Lusha_Session1_1reco_emotion2;EXAVITQu4vr4xnSDxMaL;2;ElevenLabs/TextToSpeech/Bella/cccff8d2-4824-de38-8b71-fbcc8d0bdc8b.mp3;
DID_Lusha_Session1_1reco_emotion2;EXAVITQu4vr4xnSDxMaL;3;ElevenLabs/TextToSpeech/Bella/4e452e53-f29e-2622-76b2-b3a4132bc902.mp3;
DID_Lusha_Session1_1reco_emotion2;EXAVITQu4vr4xnSDxMaL;4;ElevenLabs/TextToSpeech/Bella/0f8da9f0-3119-230f-1aeb-21a889ad1ff7.mp3;
DID_Lusha_Session1_1reco_emotion2;EXAVITQu4vr4xnSDxMaL;5;ElevenLabs/TextToSpeech/Bella/3e9ed4e4-77a1-5a49-63ea-566380d9a89b.mp3;
DID_Lusha_Session1_1reco_emotion2_end;EXAVITQu4vr4xnSDxMaL;1;ElevenLabs/TextToSpeech/Bella/16c5550d-b8d0-9271-acad-a0fffab9a4dd.mp3;
DID_Lusha_Session1_1reco_emotion3;EXAVITQu4vr4xnSDxMaL;1;ElevenLabs/TextToSpeech/Bella/70f7e361-29b8-f8b4-9164-37a9a5b2f3fa.mp3;
DID_Lusha_Session1_1reco_emotion3;EXAVITQu4vr4xnSDxMaL;2;ElevenLabs/TextToSpeech/Bella/da77b1a3-0b3e-0538-527b-67be647de4d2.mp3;
DID_Lusha_Session1_1reco_emotion3_end;EXAVITQu4vr4xnSDxMaL;1;ElevenLabs/TextToSpeech/Bella/16c5550d-b8d0-9271-acad-a0fffab9a4dd.mp3;
DID_Lusha_Session1_1reco_emotion4;EXAVITQu4vr4xnSDxMaL;1;ElevenLabs/TextToSpeech/Bella/e977945a-f635-ad2c-7656-2f6edd78b3e5.mp3;
DID_Lusha_Session1_1reco_emotion4;EXAVITQu4vr4xnSDxMaL;2;ElevenLabs/TextToSpeech/Bella/d72de93e-62ff-2ccb-f36e-b2fbf2baeba2.mp3;
